#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC  7192   	 ESO  108- 12  	22 06 50.0	-64 18 57	-4.3	 1.31	 0.02	   	12.19	 0.98	12.58
NGC   315   	 UGC   597     	00 57 49.1	+30 21 10	-4.0	 1.51	 0.20	 40	12.20	 1.09	13.10
NGC   507   	 UGC   938     	01 23 40.1	+33 15 22	-2.0	 1.49	 0.00	   	12.20	 1.25	13.91
NGC   741   	 UGC  1413     	01 56 20.9	+05 37 44	-5.0	 1.47	 0.01	   	12.20	 1.24	13.91
NGC   890   	 UGC  1823     	02 22 01.1	+33 15 57	-3.0	 1.40	 0.16	   	12.20	 1.06	12.95
NGC  1169   	 UGC  2503     	03 03 35.1	+46 23 04	 3.0	 1.62	 0.17	 28	12.20	 1.27	14.04
NGC  1700   	 MCG -1-13- 38 	04 56 56.2	-04 52 03	-5.0	 1.52	 0.20	 90	12.20	 0.79	11.68
NGC  2500   	 UGC  4165     	08 01 53.6	+50 44 18	 7.0	 1.46	 0.04	   	12.20	     	
NGC  3294   	 UGC  5753     	10 36 16.1	+37 19 28	 5.0	 1.55	 0.29	122	12.20	     	
NGC  3430   	 UGC  5982     	10 52 10.9	+32 57 09	 5.0	 1.60	 0.25	 30	12.20	     	
NGC  3900   	 UGC  6786     	11 49 08.9	+27 01 26	-1.0	 1.50	 0.27	  2	12.20	 1.07	13.04
NGC  4645A  	 ESO  322- 59  	12 43 05.4	-41 21 32	-2.0	 1.47	 0.56	 33	12.20	     	
NGC  4832   	 ESO  323- 51  	12 57 47.3	-39 45 36	-2.0	 1.27	 0.18	 25	12.20	 0.68	
NGC  5062   	 ESO  382- 35  	13 18 23.4	-35 27 28	-2.0	 1.35	 0.49	130	12.20	 0.65	
IC   4329   	 ESO  445- 46  	13 49 05.3	-30 17 45	-3.0	 1.53	 0.24	 63	12.20	 1.24	13.89
NGC  5408   	 MCG -7-29-  6 	14 04 22.0	-41 22 36	 9.7	 1.21	 0.31	   	12.20	     	
IC   1029   	 UGC  9361     	14 32 27.5	+49 54 14	 3.0	 1.45	 0.71	152	12.20	     	
NGC  5668   	 UGC  9363     	14 33 24.9	+04 27 02	 7.0	 1.52	 0.04	   	12.20	 1.10	13.22
NGC  5903   	 ESO  514-  4  	15 18 36.3	-24 04 06	-5.0	 1.43	 0.11	168	12.20	 1.12	13.29
NGC  6653   	 ESO   45- 13  	18 44 38.7	-73 15 47	-5.0	 1.22	 0.05	   	12.20	 0.91	
NGC  7141   	 ESO  189-  7  	21 52 15.2	-55 34 11	 4.0	 1.62	 0.14	 18	12.20	 1.25	13.95
NGC  7448   	 UGC 12294     	23 00 03.7	+15 58 57	 4.0	 1.43	 0.34	170	12.20	 0.88	12.09
NGC  7689   	 ESO  192-  7  	23 33 16.2	-54 05 37	 6.0	 1.46	 0.18	162	12.20	     	
IC   2006   	 ESO  359-  7  	03 54 28.4	-35 58 02	-4.5	 1.32	 0.07	   	12.21	 0.98	12.57
NGC  2902   	 MCG -2-24- 30 	09 30 53.0	-14 44 10	-2.0	 1.15	 0.08	   	12.21	 0.71	
NGC  3162   	 UGC  5510     	10 13 32.0	+22 44 23	 4.0	 1.48	 0.08	   	12.21	 1.06	13.00
NGC  3313   	 ESO  501- 50  	10 37 25.6	-25 19 06	 2.4	 1.59	 0.09	 55	12.21	 1.35	14.45
NGC  6730   	 ESO   72-  9  	19 07 33.5	-68 54 38	-5.0	 1.24	 0.07	   	12.21	 0.71	
NGC  1325   	 ESO  548-  7  	03 24 25.3	-21 32 33	 4.0	 1.67	 0.47	 56	12.22	 1.25	13.96
NGC  4064   	 UGC  7054     	12 04 10.8	+18 26 34	 1.0	 1.64	 0.40	150	12.22	 1.08	12.29
NGC  5037   	 MCG -3-34- 29 	13 14 59.5	-16 35 28	 1.0	 1.35	 0.48	 40	12.22	 0.71	
NGC  5879   	 UGC  9753     	15 09 47.2	+57 00 06	 4.0	 1.62	 0.49	  0	12.22	 0.94	12.43
NGC  7123   	 ESO   75- 27  	21 50 46.9	-70 20 04	 1.0	 1.48	 0.32	146	12.22	 0.88	
NGC  7721   	 MCG -1-60- 17 	23 38 48.7	-06 31 06	 5.0	 1.55	 0.39	 20	12.22	 1.14	13.41
NGC   784   	 UGC  1501     	02 01 17.0	+28 50 15	 7.5	 1.82	 0.64	  0	12.23	     	
NGC  1411   	 ESO  249- 11  	03 38 45.0	-44 06 00	-3.0	 1.36	 0.14	  6	12.23	 0.66	11.02
NGC  2811   	 MCG -3-24-  3 	09 16 11.3	-16 18 47	 1.0	 1.40	 0.46	 25	12.23	 0.83	11.87
NGC  3813   	 UGC  6651     	11 41 18.2	+36 32 49	 3.0	 1.35	 0.31	 87	12.23	     	
NGC  7098   	 ESO   48-  5  	21 44 16.6	-75 06 45	 1.0	 1.61	 0.19	 74	12.23	 1.21	13.77
NGC   514   	 UGC   947     	01 24 04.0	+12 54 59	 5.0	 1.54	 0.10	110	12.24	 1.34	14.43
NGC   520   	 UGC   966     	01 24 34.7	+03 47 49	99.0	 1.65	 0.39	130	12.24	 1.09	13.18
NGC   691   	 UGC  1305     	01 50 41.7	+21 45 35	 4.0	 1.54	 0.12	 95	12.24	 1.33	14.38
IC   1953   	 ESO  548- 38  	03 33 41.7	-21 28 41	 7.0	 1.44	 0.11	121	12.24	 1.21	13.78
NGC  2268   	 UGC  3653     	07 14 15.7	+84 22 50	 4.0	 1.51	 0.21	 63	12.24	 1.03	12.88
NGC  3717   	 ESO  439- 15  	11 31 31.8	-30 18 28	 3.0	 1.78	 0.73	 33	12.24	 1.06	13.03
NGC  4639   	 UGC  7884     	12 42 52.6	+13 15 30	 4.0	 1.44	 0.17	123	12.24	 0.99	12.65
NGC  5377   	 UGC  8863     	13 56 16.8	+47 14 17	 1.0	 1.57	 0.25	 20	12.24	 1.05	12.98
NGC  5775   	 UGC  9579     	14 53 57.7	+03 32 40	 5.0	 1.62	 0.62	146	12.24	     	
NGC  5970   	 UGC  9943     	15 38 30.1	+12 11 09	 5.0	 1.46	 0.17	 88	12.24	 0.96	12.53
NGC  1530   	 UGC  3013     	04 23 28.5	+75 17 50	 3.0	 1.66	 0.28	   	12.25	 1.23	13.89
NGC  4281   	 UGC  7389     	12 20 21.7	+05 23 13	-1.0	 1.48	 0.31	 88	12.25	 0.79	11.73
NGC  4413   	 UGC  7538     	12 26 31.8	+12 36 35	 2.0	 1.37	 0.19	 60	12.25	 0.91	
NGC  4984   	 MCG -2-34-  4 	13 08 57.2	-15 30 58	-1.0	 1.44	 0.10	 90	12.25	 0.64	10.94
NGC   895   	 MCG -1- 7-  2 	02 21 36.6	-05 31 18	 6.0	 1.56	 0.15	   	12.26	 1.20	13.75
NGC  2525   	 MCG -2-21-  4 	08 05 38.1	-11 25 41	 5.0	 1.46	 0.18	   	12.26	 0.99	12.70
NGC  2541   	 UGC  4284     	08 14 40.3	+49 03 44	 6.0	 1.80	 0.30	165	12.26	 1.30	14.25
NGC  4339   	 UGC  7461     	12 23 34.4	+06 04 55	-5.0	 1.38	 0.02	   	12.26	 1.03	12.90
NGC  7371   	 MCG -2-58-  1 	22 46 00.0	-11 00 00	 0.0	 1.31	 0.00	   	12.26	 1.20	13.75
NGC   972   	 UGC  2045     	02 34 13.3	+29 18 42	 2.0	 1.52	 0.29	152	12.27	 1.00	12.58
NGC  1253   	 MCG -1- 9- 18 	03 14 09.3	-02 49 22	 6.0	 1.72	 0.35	 75	12.27	 1.26	14.06
NGC  1439   	 ESO  549-  9  	03 44 50.4	-21 55 21	-5.0	 1.39	 0.03	   	12.27	 1.05	13.03
NGC  2380   	 ESO  492- 12  	07 23 55.3	-27 31 43	-1.7	 1.31	 0.03	   	12.27	 1.02	12.86
NGC  4220   	 UGC  7290     	12 16 11.8	+47 53 05	-1.0	 1.59	 0.45	141	12.27	 1.00	12.69
IC   4214   	 ESO  444-  5  	13 17 43.5	-32 06 05	 1.5	 1.35	 0.24	176	12.27	 0.87	12.11
NGC  5493   	 MCG -1-36- 13 	14 11 29.5	-05 02 40	-2.0	 1.21	 0.10	120	12.27	 0.66	11.06
NGC  5728   	 MCG -3-37-  5 	14 42 24.1	-17 15 12	 1.0	 1.49	 0.24	 30	12.27	 1.12	13.36
NGC  1341   	 ESO  358-  8  	03 27 57.9	-37 09 03	 2.2	 1.19	 0.08	   	12.28	 0.77	
NGC  1518   	 ESO  550-  7  	04 06 50.0	-21 10 43	 8.0	 1.48	 0.35	 35	12.28	     	
NGC  2293   	 ESO  490- 49  	06 47 42.9	-26 45 11	-1.0	 1.62	 0.10	125	12.28	 0.98	12.67
NGC  5691   	 UGC  9420     	14 37 53.7	-00 23 50	 1.0	 1.27	 0.12	110	12.28	 0.82	
NGC  6412   	 UGC 10897     	17 29 36.5	+75 42 18	 5.0	 1.40	 0.06	   	12.28	 1.12	13.37
NGC  1426   	 ESO  549-  1  	03 42 49.3	-22 06 37	-5.0	 1.42	 0.20	111	12.29	 0.92	12.39
NGC  3358   	 ESO  376- 17  	10 43 33.5	-36 24 39	 0.0	 1.52	 0.25	141	12.29	 1.13	13.52
            	 ESO  323- 93  	13 13 14.5	-42 17 12	-3.0	 1.16	 0.19	107	12.29	     	
NGC  5147   	 UGC  8443     	13 26 19.7	+02 05 59	 8.0	 1.28	 0.09	120	12.29	 0.85	12.03
NGC  2782   	 UGC  4862     	09 14 05.5	+40 06 52	 1.0	 1.54	 0.13	   	12.30	 0.89	12.24
NGC  2967   	 UGC  5180     	09 42 03.8	+00 20 08	 5.0	 1.48	 0.04	 65	12.30	 1.07	13.14
NGC  3041   	 UGC  5303     	09 53 07.0	+16 40 44	 5.0	 1.57	 0.19	 95	12.30	     	
NGC  3226   	 UGC  5617     	10 23 27.4	+19 53 55	-5.0	 1.50	 0.05	 15	12.30	 1.06	13.07
NGC  3655   	 UGC  6396     	11 22 54.7	+16 35 27	 5.0	 1.19	 0.18	 30	12.30	     	
NGC  4532   	 UGC  7726     	12 34 19.4	+06 28 12	10.0	 1.45	 0.41	160	12.30	     	
NGC  4800   	 UGC  8035     	12 54 38.0	+46 31 52	 3.0	 1.20	 0.13	 25	12.30	 0.78	11.68
NGC  4793   	 UGC  8033     	12 54 41.1	+28 56 15	 5.0	 1.44	 0.27	 50	12.30	 1.15	13.53
NGC  5885   	 MCG -2-39- 13 	15 15 04.1	-10 05 11	 5.0	 1.55	 0.06	   	12.30	     	
NGC  6492   	 ESO  102- 22  	18 02 48.0	-66 25 47	 3.8	 1.39	 0.31	 75	12.30	 1.17	13.64
IC   4797   	 ESO  183- 29  	18 56 29.3	-54 18 22	-4.3	 1.47	 0.36	146	12.30	 0.80	11.79
IC   4831   	 ESO  141- 38  	19 14 43.9	-62 16 18	 2.3	 1.53	 0.58	111	12.30	 0.72	
            	 ESO  342- 27  	21 16 55.0	-42 15 31	-2.8	 1.31	 0.14	 52	12.30	 0.96	
NGC   151   	 MCG -2- 2- 54 	00 34 02.8	-09 42 20	 4.0	 1.57	 0.34	 75	12.31	 1.07	13.15
NGC  3301   	 UGC  5767     	10 36 55.6	+21 52 58	 0.0	 1.55	 0.54	 52	12.31	 0.83	11.95
NGC  4245   	 UGC  7328     	12 17 37.0	+29 36 34	 0.0	 1.46	 0.12	   	12.31	 0.90	12.30
NGC  5308   	 UGC  8722     	13 47 00.6	+60 58 29	-3.0	 1.57	 0.74	 60	12.31	 0.78	11.70
NGC  5485   	 UGC  9033     	14 07 11.5	+55 00 08	-2.0	 1.37	 0.08	170	12.31	 0.99	12.75
IC   1265   	 UGC 10917     	17 36 39.7	+42 05 16	 2.0	 1.31	 0.37	 80	12.31	 0.88	
NGC  1156   	 UGC  2455     	02 59 42.6	+25 14 15	10.0	 1.52	 0.13	 25	12.32	 1.04	13.01
NGC  2537   	 UGC  4274     	08 13 15.1	+45 59 29	 9.0	 1.24	 0.07	   	12.32	 0.90	12.31
NGC  4485   	 UGC  7648     	12 30 31.7	+41 42 01	10.0	 1.36	 0.15	 15	12.32	     	
NGC  6703   	 UGC 11356     	18 47 19.0	+45 33 03	-2.5	 1.40	 0.03	   	12.32	 0.87	12.16
NGC  2191   	 ESO  160- 14  	06 08 23.8	-52 30 40	-2.0	 1.24	 0.31	118	12.33	     	
NGC  2434   	 ESO   59-  5  	07 34 51.5	-69 17 01	-5.0	 1.39	 0.03	   	12.33	 1.02	12.92
NGC  2427   	 ESO  208- 27  	07 36 28.0	-47 38 05	 8.0	 1.72	 0.38	122	12.33	     	
NGC  3003   	 UGC  5251     	09 48 36.0	+33 25 18	 4.0	 1.76	 0.63	 79	12.33	 1.18	13.72
NGC  4369   	 UGC  7489     	12 24 35.9	+39 22 57	 1.0	 1.32	 0.01	   	12.33	 0.74	11.52
NGC  5354   	 UGC  8814     	13 53 26.6	+40 18 16	-2.0	 1.16	 0.04	   	12.33	 0.78	12.00
NGC  6958   	 ESO  341- 15  	20 48 42.9	-37 59 46	-3.8	 1.33	 0.10	107	12.33	 0.82	11.92
NGC  7585   	 MCG -1-59- 15 	23 18 01.4	-04 39 03	-1.0	 1.37	 0.07	105	12.33	 0.91	12.37
IC   1788   	 ESO  415- 15  	02 15 50.3	-31 12 06	 4.0	 1.41	 0.36	 27	12.34	 0.90	
NGC  1487   	 ESO  249- 31  	03 55 46.6	-42 22 02	99.0	 1.52	 0.19	 55	12.34	 0.91	12.29
NGC  4424   	 UGC  7561     	12 27 11.5	+09 25 15	 1.0	 1.56	 0.30	 95	12.34	 1.04	13.05
NGC  4519   	 UGC  7709     	12 33 30.5	+08 39 16	 7.0	 1.50	 0.11	145	12.34	     	
NGC  5756   	 MCG -2-38- 12 	14 47 33.8	-14 51 14	 3.5	 1.32	 0.35	 40	12.34	 0.88	
NGC  6407   	 ESO  139- 22  	17 44 57.7	-60 44 22	-2.0	 1.32	 0.12	 60	12.34	 0.73	
IC   4845   	 ESO  141- 54  	19 20 22.8	-60 23 25	 2.9	 1.26	 0.07	 87	12.34	 0.61	10.88
NGC  7176   	 ESO  466- 41  	22 02 08.7	-31 59 25	-4.6	 1.02	 0.14	   	12.34	     	
IC   5328   	 ESO  291- 29  	23 33 17.0	-45 01 01	-5.0	 1.40	 0.21	 40	12.34	 0.87	12.18
NGC  2848   	 MCG -3-24-  7 	09 20 09.7	-16 31 34	 5.0	 1.43	 0.21	 40	12.35	 1.17	13.69
NGC  4808   	 UGC  8054     	12 55 49.6	+04 18 14	 6.0	 1.44	 0.38	127	12.35	     	
NGC  5473   	 UGC  9011     	14 04 43.6	+54 53 32	-3.0	 1.37	 0.15	160	12.35	 0.81	11.89
NGC  6482   	 UGC 11009     	17 51 49.0	+23 04 20	-5.0	 1.30	 0.07	 70	12.35	     	
NGC  6920   	 ESO   26-  4  	20 43 56.6	-80 00 03	-2.0	 1.25	 0.07	   	12.35	 0.53	
NGC  7029   	 ESO  235- 72  	21 11 52.4	-49 16 58	-5.0	 1.42	 0.26	 71	12.35	 0.85	12.09
NGC  7059   	 ESO  145-  5  	21 27 21.5	-60 00 51	 5.0	 1.54	 0.32	 98	12.35	 1.14	13.54
NGC  7742   	 UGC 12760     	23 44 16.0	+10 46 04	 3.0	 1.24	 0.00	   	12.35	 0.70	11.34
NGC   255   	 MCG -2- 3- 17 	00 47 47.4	-11 28 08	 4.0	 1.48	 0.08	   	12.36	 1.14	13.55
NGC  3389   	 UGC  5914     	10 48 27.9	+12 32 01	 5.0	 1.44	 0.31	112	12.36	     	
NGC  4106   	 ESO  440- 56  	12 06 44.7	-29 46 06	-1.0	 1.21	 0.10	 77	12.36	 0.77	11.70
NGC  4478   	 UGC  7645     	12 30 17.4	+12 19 44	-5.0	 1.28	 0.07	140	12.36	 0.65	11.10
NGC  7456   	 ESO  346- 26  	23 02 10.0	-39 34 09	 6.0	 1.74	 0.53	 23	12.36	 1.18	13.86
NGC   474   	 UGC   864     	01 20 06.8	+03 25 00	-2.0	 1.85	 0.05	 75	12.37	 1.05	13.11
NGC  1199   	 MCG -3- 8- 67 	03 03 38.5	-15 36 50	-5.0	 1.38	 0.10	   	12.37	 0.97	12.75
NGC  6810   	 ESO  142- 35  	19 43 34.2	-58 39 21	 2.0	 1.50	 0.55	176	12.37	 0.85	12.11
NGC  1079   	 ESO  416- 13  	02 43 44.6	-29 00 14	 0.0	 1.54	 0.21	 87	12.38	 0.89	12.32
NGC  1357   	 MCG -2-10-  1 	03 33 17.2	-13 39 54	 2.0	 1.45	 0.16	   	12.38	 1.04	13.07
NGC  3706   	 ESO  378-  6  	11 29 44.1	-36 23 33	-3.0	 1.48	 0.22	 78	12.38	 0.83	12.02
NGC  4474   	 UGC  7634     	12 29 53.4	+14 04 06	-2.0	 1.38	 0.22	 80	12.38	 0.84	12.15
NGC  4578   	 UGC  7793     	12 37 30.7	+09 33 19	-2.0	 1.52	 0.13	 35	12.38	 1.03	12.87
NGC  5077   	 MCG -2-34- 27 	13 19 31.7	-12 39 26	-5.0	 1.29	 0.11	   	12.38	 0.88	12.27
IC   4721   	 ESO  140- 27  	18 34 24.9	-58 29 52	 6.0	 1.72	 0.55	146	12.38	 1.22	13.97
IC   5179   	 ESO  405-  5  	22 16 08.5	-36 50 52	 4.0	 1.37	 0.32	 57	12.38	 0.91	12.42
NGC  7743   	 UGC 12759     	23 44 21.6	+09 56 04	-1.0	 1.48	 0.07	 80	12.38	 1.07	13.07
A   0102-06 	 MCG -1- 3- 85 	01 05 04.8	-06 12 46	 7.0	 1.62	 0.07	   	12.39	     	
NGC  1521   	 ESO  550- 11  	04 08 19.0	-21 03 06	-5.0	 1.44	 0.22	 10	12.39	 0.93	12.73
NGC  4273   	 UGC  7380     	12 19 55.6	+05 20 48	 5.0	 1.37	 0.19	 10	12.39	 0.91	12.40
NGC   949   	 UGC  1983     	02 30 48.9	+37 08 09	 3.0	 1.38	 0.27	145	12.40	     	
NGC  1353   	 ESO  548- 31  	03 32 03.2	-20 49 04	 3.0	 1.53	 0.38	138	12.40	 0.98	12.75
NGC  1406   	 ESO  418- 15  	03 39 22.6	-31 19 19	 4.0	 1.58	 0.70	 15	12.40	 1.03	13.04
NGC  2748   	 UGC  4825     	09 13 44.7	+76 28 32	 4.0	 1.48	 0.42	 38	12.40	     	
NGC  3395   	 UGC  5931     	10 49 49.5	+32 58 51	 6.0	 1.32	 0.23	 50	12.40	     	
NGC  5087   	 ESO  576- 35  	13 20 25.3	-20 36 37	-3.0	 1.37	 0.14	 10	12.40	 0.67	11.24
NGC  5660   	 UGC  9325     	14 29 49.1	+49 37 22	 5.0	 1.44	 0.05	 90	12.40	 0.93	12.59
NGC  5806   	 UGC  9645     	15 00 00.6	+01 53 28	 3.0	 1.49	 0.29	170	12.40	     	
NGC  5878   	 MCG -2-39-  6 	15 13 45.8	-14 16 15	 3.0	 1.54	 0.38	  0	12.40	 1.12	13.44
NGC  7013   	 UGC 11670     	21 03 33.2	+29 53 47	 0.0	 1.60	 0.45	157	12.40	 0.94	12.59
NGC  7196   	 ESO  237- 36  	22 05 54.7	-50 07 11	-5.0	 1.39	 0.13	 53	12.40	 0.81	11.94
NGC   533   	 UGC   992     	01 25 31.5	+01 45 35	-5.0	 1.58	 0.21	 50	12.41	 1.18	13.80
NGC   636   	 MCG -1- 5- 13 	01 39 06.6	-07 30 47	-5.0	 1.45	 0.12	   	12.41	 0.81	11.95
NGC  1209   	 MCG -3- 8- 73 	03 06 03.1	-15 36 42	-5.0	 1.38	 0.32	 85	12.41	 0.79	11.83
NGC  1437   	 ESO  358- 58  	03 43 37.8	-35 51 11	 2.5	 1.47	 0.17	150	12.41	 1.16	12.81
NGC  3254   	 UGC  5685     	10 29 20.0	+29 29 28	 4.0	 1.70	 0.50	 46	12.41	 1.14	13.60
NGC  3495   	 UGC  6098     	11 01 15.8	+03 37 35	 7.0	 1.69	 0.61	 20	12.41	     	
NGC  4073   	 UGC  7060     	12 04 26.5	+01 53 48	-3.8	 1.50	 0.14	105	12.41	 1.20	13.90
NGC  4116   	 UGC  7111     	12 07 36.4	+02 41 33	 8.0	 1.58	 0.24	155	12.41	     	
NGC  5011   	 ESO  269- 65  	13 12 51.9	-43 05 48	-5.0	 1.38	 0.07	154	12.41	 0.90	12.40
NGC  5631   	 UGC  9261     	14 26 33.4	+56 35 00	-2.0	 1.23	 0.00	   	12.41	 0.80	11.90
NGC  7678   	 UGC 12614     	23 28 28.1	+22 25 22	 5.0	 1.37	 0.15	  5	12.41	 1.05	13.15
NGC  1389   	 ESO  358- 38  	03 37 11.8	-35 44 42	-3.3	 1.36	 0.22	 30	12.42	 0.70	11.41
NGC  1640   	 ESO  551- 27  	04 42 14.4	-20 26 07	 3.0	 1.42	 0.11	 45	12.42	 0.98	12.81
NGC  3038   	 ESO  374-  2  	09 51 15.9	-32 45 18	 2.9	 1.40	 0.27	130	12.42	 0.94	12.61
NGC  4531   	 UGC  7729     	12 34 16.1	+13 04 35	-0.5	 1.49	 0.18	155	12.42	     	
NGC  6118   	 UGC 10350     	16 21 48.8	-02 16 58	 6.0	 1.67	 0.37	 58	12.42	 1.25	14.16
NGC  7541   	 UGC 12447     	23 14 43.1	+04 32 04	 4.0	 1.54	 0.45	102	12.42	 1.02	13.01
IC   1993   	 ESO  358- 65  	03 47 10.2	-33 42 31	 3.1	 1.39	 0.06	   	12.43	 1.15	13.67
NGC  4291   	 UGC  7397     	12 20 18.2	+75 22 21	-5.0	 1.28	 0.08	110	12.43	 0.76	11.72
NGC  1381   	 ESO  358- 29  	03 36 31.5	-35 17 39	-1.6	 1.43	 0.56	139	12.44	 0.58	10.91
NGC  1784   	 MCG -2-13- 42 	05 05 27.2	-11 52 18	 5.0	 1.60	 0.20	   	12.44	 1.12	13.53
NGC  1954   	 MCG -2-15-  3 	05 32 48.2	-14 03 50	 4.3	 1.62	 0.28	   	12.44	 1.29	14.38
NGC  2889   	 MCG -2-24- 26 	09 27 12.6	-11 38 37	 5.0	 1.34	 0.06	   	12.44	 0.96	12.73
NGC  4150   	 UGC  7165     	12 10 33.5	+30 24 06	-2.0	 1.37	 0.16	147	12.44	 0.77	11.78
NGC  4540   	 UGC  7742     	12 34 51.0	+15 33 10	 6.0	 1.29	 0.11	 40	12.44	     	
NGC  5273   	 UGC  8675     	13 42 08.4	+35 39 12	-2.0	 1.44	 0.04	 10	12.44	 1.01	12.98
NGC   922   	 ESO  478- 28  	02 25 03.6	-24 47 23	 6.0	 1.29	 0.09	   	12.45	     	
IC    334   	 UGC  2824     	03 45 17.1	+76 38 13	    	 1.40	 0.12	   	12.45	 1.07	13.29
            	 ESO  486- 19  	05 03 16.5	-22 49 56	-3.5	 1.16	 0.47	158	12.45	     	
NGC  5365   	 ESO  271-  8  	13 57 51.0	-43 55 48	-3.0	 1.47	 0.20	  4	12.45	 0.69	11.39
NGC  5831   	 UGC  9678     	15 04 07.2	+01 13 15	-5.0	 1.31	 0.04	 55	12.45	 0.93	12.59
NGC  6070   	 UGC 10230     	16 09 58.7	+00 42 34	 6.0	 1.55	 0.28	 62	12.45	 1.11	13.49
NGC  1351   	 ESO  358- 12  	03 30 34.8	-34 51 12	-3.0	 1.45	 0.22	140	12.46	 0.83	12.10
NGC  2880   	 UGC  5051     	09 29 35.1	+62 29 25	-3.0	 1.31	 0.23	140	12.46	 0.86	12.25
NGC  3044   	 UGC  5311     	09 53 39.8	+01 34 46	 5.0	 1.69	 0.84	 13	12.46	 1.14	13.65
NGC  6808   	 ESO   73-  3  	19 43 54.3	-70 37 58	 1.5	 1.18	 0.30	 40	12.46	 0.71	
NGC  7079   	 ESO  287- 36  	21 32 35.1	-44 04 00	-2.0	 1.33	 0.21	 82	12.46	 0.82	12.05
NGC  7796   	 ESO  149-  7  	23 58 59.8	-55 27 24	-3.8	 1.34	 0.06	168	12.46	 0.85	12.20
NGC   615   	 MCG -1- 5-  8 	01 35 05.8	-07 20 27	 3.0	 1.56	 0.40	155	12.47	 0.90	12.46
IC    284   	 UGC  2531     	03 06 09.8	+42 22 19	 8.0	 1.61	 0.29	 13	12.47	 1.31	14.51
NGC  4421   	 UGC  7554     	12 27 02.5	+15 27 43	 0.0	 1.43	 0.12	 20	12.47	 1.09	13.26
NGC  5297   	 UGC  8709     	13 46 24.2	+43 52 25	 4.5	 1.75	 0.65	148	12.47	 1.08	13.36
NGC   782   	 ESO  114- 15  	01 57 37.8	-57 47 25	 3.0	 1.37	 0.06	 15	12.48	 1.08	13.37
NGC  1337   	 MCG -2- 9- 42 	03 28 05.9	-08 23 23	 6.0	 1.76	 0.59	   	12.48	 1.18	14.00
IC   2056   	 ESO  118- 16  	04 16 23.6	-60 12 22	 4.4	 1.27	 0.08	  8	12.48	 0.61	11.02
NGC  3448   	 UGC  6024     	10 54 39.1	+54 18 24	90.0	 1.75	 0.50	 65	12.48	 0.89	12.42
NGC  5193   	 ESO  383- 15  	13 31 53.6	-33 14 07	-4.5	 1.27	 0.03	   	12.48	 0.95	12.72
IC    983   	 UGC  9061     	14 10 04.7	+17 44 00	 4.0	 1.73	 0.06	120	12.48	 1.33	14.62
NGC  5582   	 UGC  9188     	14 20 43.5	+39 41 35	-5.0	 1.45	 0.21	 25	12.48	 1.04	13.17
NGC   777   	 UGC  1476     	02 00 15.0	+31 25 46	-5.0	 1.39	 0.08	155	12.49	 1.06	13.28
NGC  3258   	 ESO  375- 37  	10 28 54.2	-35 36 22	-5.0	 1.46	 0.07	 75	12.49	 1.00	12.98
